"Ocean Rose";"Atlantique";"Rose Doux";"IGP";"2013";"0.75"
"Tatoobu";"Perigord";"Rouge Doux";"IGP";"2013";"0.75"
"Chateau Minuty";"Cotes de Provence";"Rose Sec";"AOC-AOP";"2013";"1.5"
"Domaine Trevallon";"Alpilles";"Rouge Doux";"IGP";"2011";"0.75"
"Vin De Paille";"Arbois";"Blanc Doux";"AOC-AOP";"2011";"0.2"
"Domaine Mandrillon";"Bourgogne";"Rouge Sec";"AOC-AOP";"2010";"3"
"Chateau de Passavant";"Anjou";"Rouge Sec";"AOC-AOP";"2010";"3"
"Brumont Chateau Montus";"Madiran";"Rouge Sec";"AOC-AOP";"2010";"12"
"Chateau de Piniaccia";"Figari";"Rouge Sec";"AOC-AOP";"2010";"6"
"Chateau Yon Figeac";"Yonne";"Rouge Doux";"IGP";"2011";"0.75"
"Chateau Monbousquet";"Saint-Emilion grand cru";"Rouge Sec";"AOC-AOP";"2010";"6"
"Clos Lapeyre";"Jurancon";"Blanc Doux";"AOC-AOP";"2013";"0.2"
