"Pessac-Leognan";"2013";"20";"AOC-AOP"
"Pomerol";"2010";"40";"AOC-AOP"
"Pomerol";"2011";"30";"AOC-AOP"
"Pomerol";"2012";"20";"AOC-AOP"
"Pomerol";"2013";"15";"AOC-AOP"
"Premieres Cotes de Bordeaux";"2013";"5";"AOC-AOP"
"Puisseguin-Saint-Emilion";"2013";"5";"AOC-AOP"
"Saint-Emilion";"2010";"40";"AOC-AOP"
"Saint-Emilion";"2011";"20";"AOC-AOP"
"Saint-Emilion";"2012";"15";"AOC-AOP"
"Saint-Emilion";"2013";"15";"AOC-AOP"
"Saint-Emilion grand cru";"2010";"40";"AOC-AOP"
"Saint-Emilion grand cru";"2011";"30";"AOC-AOP"
"Saint-Emilion grand cru";"2012";"20";"AOC-AOP"
"Saint-Emilion grand cru";"2013";"20";"AOC-AOP"
"Saint-Estephe";"2010";"40";"AOC-AOP"
"Saint-Estephe";"2011";"20";"AOC-AOP"
"Saint-Estephe";"2012";"20";"AOC-AOP"
"Saint-Estephe";"2013";"15";"AOC-AOP"
"Saint-Georges-Saint-Emilion";"2013";"5";"AOC-AOP"
"Saint-Julien";"2010";"40";"AOC-AOP"
"Saint-Julien";"2011";"20";"AOC-AOP"
"Saint-Julien";"2012";"20";"AOC-AOP"
"Saint-Julien";"2013";"15";"AOC-AOP"
"Sainte-Croix-du-Mont";"2010";"70";"AOC-AOP"
"Sainte-Croix-du-Mont";"2011";"20";"AOC-AOP"
"Sainte-Croix-du-Mont";"2012";"15";"AOC-AOP"
"Sainte-Croix-du-Mont";"2013";"20";"AOC-AOP"
"Sainte-Foy-Bordeaux";"2013";"5";"AOC-AOP"
"Sauternes";"2010";"70";"AOC-AOP"
"Sauternes";"2011";"30";"AOC-AOP"
"Sauternes";"2012";"15";"AOC-AOP"
"Sauternes";"2013";"20";"AOC-AOP"
"Atlantique";"2013";"5";"IGP"
"Perigord";"2013";"5";"IGP"
"Aloxe-Corton";"2010";"40";"IGP"
"Aloxe-Corton";"2011";"30";"AOC-AOP"
"Aloxe-Corton";"2012";"30";"AOC-AOP"
"Aloxe-Corton";"2013";"20";"AOC-AOP"
"Auxey-Duresses";"2013";"5";"AOC-AOP"
"Batard-Montrachet";"2013";"5";"AOC-AOP"
"Beaune";"2010";"40";"AOC-AOP"
"Beaune";"2011";"30";"AOC-AOP"
"Beaune";"2012";"40";"AOC-AOP"
"Beaune";"2013";"20";"AOC-AOP"
"Bienvenues-Batard-Montrachet";"2013";"5";"AOC-AOP"
"Blagny";"2013";"5";"AOC-AOP"
"Bonnes-Mares";"2013";"5";"AOC-AOP"
"Bourgogne";"2010";"40";"AOC-AOP"
"Bourgogne";"2011";"30";"AOC-AOP"
"Bourgogne";"2012";"30";"AOC-AOP"
"Bourgogne";"2013";"20";"AOC-AOP"
"Bourgogne aligote";"2013";"5";"AOC-AOP"
"Bourgogne mousseux";"2013";"5";"AOC-AOP"
"Bourgogne Passe-tout-grains";"2013";"5";"AOC-AOP"
"Bouzeron";"2013";"5";"AOC-AOP"
"Chablis";"2010";"50";"AOC-AOP"
"Chablis";"2011";"30";"AOC-AOP"
"Chablis";"2012";"40";"AOC-AOP"
"Chablis";"2013";"30";"AOC-AOP"
"Chablis Grand Cru";"2010";"50";"AOC-AOP"
"Chablis Grand Cru";"2011";"30";"AOC-AOP"
"Chablis Grand Cru";"2012";"40";"AOC-AOP"
"Chablis Grand Cru";"2013";"30";"AOC-AOP"
"Chambertin";"2010";"30";"AOC-AOP"
"Chambertin";"2011";"20";"AOC-AOP"
"Chambertin";"2012";"20";"AOC-AOP"
"Chambertin";"2013";"30";"AOC-AOP"
"Chambertin-Clos de Beze";"2013";"5";"AOC-AOP"
"Chambolle-Musigny";"2010";"30";"AOC-AOP"
"Chambolle-Musigny";"2011";"30";"AOC-AOP"
"Chambolle-Musigny";"2012";"40";"AOC-AOP"
"Chambolle-Musigny";"2013";"20";"AOC-AOP"
"Chapelle-Chambertin";"2013";"5";"AOC-AOP"
"Charlemagne";"2010";"50";"AOC-AOP"
"Charlemagne";"2011";"20";"AOC-AOP"
"Charlemagne";"2012";"40";"AOC-AOP"
"Charlemagne";"2013";"30";"AOC-AOP"
"Corton-Charlemagne";"2010";"50";"IGP"
"Corton-Charlemagne";"2011";"20";"IGP"
"Corton-Charlemagne";"2012";"30";"IGP"
"Corton-Charlemagne";"2013";"30";"AOC-AOP"
"Coteaux Bourguignons";"2013";"5";"AOC-AOP"
"Cremant de Bourgogne";"2013";"5";"AOC-AOP"
"Macon";"2010";"40";"AOC-AOP"
"Macon";"2011";"30";"AOC-AOP"
"Macon";"2012";"30";"AOC-AOP"
"Macon";"2013";"20";"AOC-AOP"
"Mercurey";"2013";"5";"AOC-AOP"
"Meursault";"2010";"40";"AOC-AOP"
"Meursault";"2011";"30";"AOC-AOP"
"Meursault";"2012";"40";"AOC-AOP"
"Meursault";"2013";"20";"AOC-AOP"
"Montagny";"2013";"5";"AOC-AOP"
"Monthelie";"2013";"5";"AOC-AOP"
"Montrachet";"2010";"50";"AOC-AOP"
"Montrachet";"2011";"30";"AOC-AOP"
"Montrachet";"2012";"30";"AOC-AOP"
"Montrachet";"2013";"15";"AOC-AOP"
"Morey-Saint-Denis";"2013";"5";"AOC-AOP"
"Musigny";"2013";"5";"AOC-AOP"
"Nuits-Saint-Georges";"2010";"40";"AOC-AOP"
"Nuits-Saint-Georges";"2011";"30";"AOC-AOP"
"Nuits-Saint-Georges";"2012";"40";"AOC-AOP"
"Nuits-Saint-Georges";"2013";"20";"AOC-AOP"
"Pernand-Vergelesses";"2013";"5";"AOC-AOP"
"Petit Chablis";"2013";"5";"AOC-AOP"
"Pommard";"2013";"5";"AOC-AOP"
"Rully";"2013";"5";"AOC-AOP"
"Santenay";"2010";"40";"AOC-AOP"
"Santenay";"2011";"30";"AOC-AOP"
"Santenay";"2012";"40";"AOC-AOP"
"Santenay";"2013";"20";"AOC-AOP"
"Volnay";"2010";"30";"IGP"
"Volnay";"2011";"30";"AOC-AOP"
"Volnay";"2012";"40";"AOC-AOP"
"Volnay";"2013";"20";"AOC-AOP"
"Vougeot";"2010";"40";"AOC-AOP"
"Vougeot";"2011";"30";"AOC-AOP"
"Vougeot";"2012";"30";"AOC-AOP"
"Vougeot";"2013";"20";"AOC-AOP"
"Coteaux de l'Auxois";"2013";"5";"IGP"
"Coteaux de Tannay";"2013";"5";"IGP"
"Sainte-Marie-la-Blanche";"2013";"5";"IGP"
"Saone-et-Loire";"2013";"5";"IGP"
"Yonne";"2013";"5";"IGP"
"Champagne";"2010";"15";"AOC-AOP"
"Champagne";"2011";"50";"AOC-AOP"
"Champagne";"2012";"40";"AOC-AOP"
"Champagne";"2013";"30";"AOC-AOP"
"Coteaux champenois";"2013";"5";"AOC-AOP"
"Rose des Riceys";"2013";"5";"AOC-AOP"
"Coteaux de Coiffy";"2013";"5";"IGP"
"Haute-Marne";"2013";"5""IGP"
"Anjou";"2010";"40";"AOC-AOP"
"Anjou";"2011";"30";"AOC-AOP"
"Anjou";"2012";"30";"AOC-AOP"
"Anjou";"2013";"20";"AOC-AOP"
"Bourgueil";"2010";"40";"AOC-AOP"
"Bourgueil";"2011";"30";"AOC-AOP"
"Bourgueil";"2012";"20";"AOC-AOP"
"Bourgueil";"2013";"15";"AOC-AOP"
"Cabernet d'Anjou";"2010";"40";"AOC-AOP"
"Cabernet d'Anjou";"2011";"20";"AOC-AOP"
"Cabernet d'Anjou";"2012";"20";"AOC-AOP"
"Cabernet d'Anjou";"2013";"15";"AOC-AOP"
"Chinon";"2010";"40";"AOC-AOP"
"Chinon";"2011";"30";"AOC-AOP"
"Chinon";"2012";"30";"AOC-AOP"
"Chinon";"2013";"20";"AOC-AOP"
